trade_date,trade_time,ts_code,name,open,high,low,close,volume,amount,source,created_at,pre_close,avg_price,vwap_cum,ret_from_open,ret_from_prev_min,bar_index,session
20260812,2026-08-12 10:36:00,600150.SH,中国船舶,33.59,33.62,33.59,33.61,177029.0,5947891.0,tushare,2026-08-13 20:05:40,,33.59839913234555,35.966387647424526,-0.022112307244690044,0.0005954153021732189,30475,morning
20260812,2026-08-12 10:37:00,600150.SH,中国船舶,33.61,33.63,33.61,33.62,152093.0,5112617.0,tushare,2026-08-13 20:05:40,,33.61507104205979,35.96635994560245,-0.021821355833575806,0.0002975304968759751,30476,morning
20260812,2026-08-12 10:38:00,600150.SH,中国船舶,33.61,33.63,33.61,33.61,193000.0,6487761.0,tushare,2026-08-13 20:05:40,,33.61534196891192,35.96632479807616,-0.022112307244690044,-0.0002974419988102106,30477,morning
20260812,2026-08-12 10:39:00,600150.SH,中国船舶,33.62,33.64,33.61,33.61,219500.0,7379887.0,tushare,2026-08-13 20:05:40,,33.621353075170845,35.96628492807428,-0.022112307244690044,0.0,30478,morning
20260812,2026-08-12 10:40:00,600150.SH,中国船舶,33.62,33.64,33.61,33.63,149584.0,5029233.0,tushare,2026-08-13 20:05:40,,33.62146352551075,35.966257759678115,-0.021530404422461347,0.0005950609937519502,30479,morning
20260812,2026-08-12 10:41:00,600150.SH,中国船舶,33.63,33.65,33.63,33.64,200239.0,6735844.0,tushare,2026-08-13 20:05:40,,33.63902136946349,35.96622166430624,-0.021239453011346998,0.0002973535533750127,30480,morning
20260812,2026-08-12 10:42:00,600150.SH,中国船舶,33.65,33.68,33.64,33.67,97513.0,3282181.0,tushare,2026-08-13 20:05:40,,33.65890701752587,35.966204237074194,-0.020366598778003953,0.0008917954815697016,30481,morning
20260812,2026-08-12 10:43:00,600150.SH,中国船舶,33.68,33.73,33.67,33.73,192404.0,6483116.0,tushare,2026-08-13 20:05:40,,33.69532857944741,35.96617039476004,-0.018620890311317972,0.0017820017820016076,30482,morning
20260812,2026-08-12 10:44:00,600150.SH,中国船舶,33.72,33.72,33.69,33.69,146900.0,4950704.0,tushare,2026-08-13 20:05:40,,33.701184479237575,35.96614462354106,-0.019784695955775367,-0.0011858879335902017,30483,morning
20260812,2026-08-12 10:45:00,600150.SH,中国船舶,33.69,33.71,33.68,33.7,110800.0,3733399.0,tushare,2026-08-13 20:05:40,,33.69493682310469,35.966125132251925,-0.019493744544660907,0.0002968239833780473,30484,morning
20260812,2026-08-12 10:46:00,600150.SH,中国船舶,33.7,33.71,33.69,33.71,340700.0,11482019.0,tushare,2026-08-13 20:05:40,,33.70125917229234,35.966065367226264,-0.01920279313354656,0.00029673590504453173,30485,morning
20260812,2026-08-12 10:47:00,600150.SH,中国船舶,33.7,33.71,33.7,33.71,51830.0,1746898.0,tushare,2026-08-13 20:05:40,,33.70437970287478,35.96605628809734,-0.01920279313354656,0.0,30486,morning
20260812,2026-08-12 10:48:00,600150.SH,中国船舶,33.7,33.71,33.67,33.67,154770.0,5213377.0,tushare,2026-08-13 20:05:40,,33.684674032435225,35.966028941054894,-0.020366598778003953,-0.0011865915158706386,30487,morning
20260812,2026-08-12 10:49:00,600150.SH,中国船舶,33.68,33.71,33.68,33.7,214300.0,7218872.0,tushare,2026-08-13 20:05:40,,33.68582361175922,35.96599109553792,-0.019493744544660907,0.0008910008910010259,30488,morning
20260812,2026-08-12 10:50:00,600150.SH,中国船舶,33.7,33.72,33.7,33.71,64030.0,2158340.0,tushare,2026-08-13 20:05:40,,33.708261752303606,35.96597989931492,-0.01920279313354656,0.00029673590504453173,30489,morning
20260812,2026-08-12 10:51:00,600150.SH,中国船舶,33.71,33.76,33.7,33.75,157870.0,5325605.0,tushare,2026-08-13 20:05:40,,33.7341166782796,35.96595261091724,-0.018038987489089275,0.0011865915158706386,30490,morning
20260812,2026-08-12 10:52:00,600150.SH,中国船舶,33.76,33.76,33.72,33.72,156300.0,5275819.0,tushare,2026-08-13 20:05:40,,33.75444017914268,35.96592584057294,-0.01891184172243232,-0.000888888888888939,30491,morning
20260812,2026-08-12 10:53:00,600150.SH,中国船舶,33.72,33.73,33.7,33.7,135800.0,4578132.0,tushare,2026-08-13 20:05:40,,33.71231222385862,35.96590213883161,-0.019493744544660907,-0.0005931198102014923,30492,morning
